Code,Description,Unit,,,Category
R10-12,Roll-up door & hardware - 10' x 12' - 26 gauge,EA,&,$973.34,
R10-12+,Roll-up door & hardware - 10' x 12' - 22 gauge,EA,&,"$1,183.63",
R10-14,Roll-up door & hardware - 10' x 14' - 26 gauge,EA,&,"$1,074.13",
R10-14+,Roll-up door & hardware - 10' x 14' - 22 gauge,EA,&,"$1,338.63",
R10-8,Roll-up door & hardware - 10' x 8' - 26 gauge,EA,&,$692.29,
R10-8+,Roll-up door & hardware - 10' x 8' - 22 gauge,EA,&,$990.61,
R12-10,Roll-up door & hardware - 12' x 10' - 26 gauge,EA,&,$909.77,
R12-10+,Roll-up door & hardware - 12' x 10' - 22 gauge,EA,&,"$1,213.63",
R12-12,Roll-up door & hardware - 12' x 12' - 26 gauge,EA,&,"$1,059.11",
R12-12+,Roll-up door & hardware - 12' x 12' - 22 gauge,EA,&,"$1,383.61",
R12-14,Roll-up door & hardware - 12' x 14' - 26 gauge,EA,&,"$1,340.61",
R12-14+,Roll-up door & hardware - 12' x 14' - 22 gauge,EA,&,"$1,566.11",
R12-8,Roll-up door & hardware - 12' x 8' - 26 gauge,EA,&,$841.49,
R12-8+,Roll-up door & hardware - 12' x 8' - 22 gauge,EA,&,"$1,087.63",
R14-10,Roll-up door & hardware - 14' x 10' - 26 gauge,EA,&,"$1,112.83",
R14-10+,Roll-up door & hardware - 14' x 10' - 22 gauge,EA,&,"$1,391.13",
R14-12,Roll-up door & hardware - 14' x 12' - 26 gauge,EA,&,"$1,263.61",
R14-12+,Roll-up door & hardware - 14' x 12' - 22 gauge,EA,&,"$1,898.11",
R14-14,Roll-up door & hardware - 14' x 14' - 26 gauge,EA,&,"$1,355.11",
R14-14+,Roll-up door & hardware - 14' x 14' - 22 gauge,EA,&,"$2,102.61",
R14-8,Roll-up door & hardware - 14' x 8' - 26 gauge,EA,&,$977.63,
R14-8+,Roll-up door & hardware - 14' x 8' - 22 gauge,EA,&,"$1,257.13",
R8-10,Roll-up door & hardware - 8' x 10' - 26 gauge,EA,&,$698.11,
R8-10+,Roll-up door & hardware - 8' x 10' - 22 gauge,EA,&,$956.61,
R8-12,Roll-up door & hardware - 8' x 12' - 26 gauge,EA,&,$970.34,
R8-12+,Roll-up door & hardware - 8' x 12' - 22 gauge,EA,&,"$1,057.63",
R8-14,Roll-up door & hardware - 8' x 14' - 26 gauge,EA,&,"$1,029.23",
R8-14+,Roll-up door & hardware - 8' x 14' - 22 gauge,EA,&,"$1,183.13",
R8-8,Roll-up door & hardware - 8' x 8' - 26 gauge,EA,&,$608.44,
R8-8+,Roll-up door & hardware - 8' x 8' - 22 gauge,EA,&,$834.61,
REV,Reverse angle track - O.H. door installation on masonry,EA,#ERROR!,$95.00,
S10-10,"Sectional overhead door, 10' x 10'",EA,&,$850.16,
S10-10I,"Sectional overhead door, 10' x 10' - insulated",EA,&,"$1,120.74",
S10-12,"Sectional overhead door, 10' x 12'",EA,&,"$1,021.83",
S10-12I,"Sectional overhead door, 10' x 12' - insulated",EA,&,"$1,238.76",
S12-10,"Sectional overhead door, 12' x 10'",EA,&,$989.78,
S12-10I,"Sectional overhead door, 12' x 10' - insulated",EA,&,"$1,210.26",
S12-12,"Sectional overhead door, 12' x 12'",EA,&,"$1,139.85",
S12-12I,"Sectional overhead door, 12' x 12' - insulated",EA,&,"$1,559.46",
S12-14,"Sectional overhead door, 12' x 14'",EA,&,"$1,157.35",
S12-14I,"Sectional overhead door, 12' x 14' - insulated",EA,&,"$1,594.11",
S14-10,"Sectional overhead door, 14' x 10'",EA,&,"$1,127.95",
S14-10I,"Sectional overhead door, 14' x 10' - insulated",EA,&,"$1,441.83",
S14-12,"Sectional overhead door, 14' x 12'",EA,&,"$1,260.89",
S14-12I,"Sectional overhead door, 14' x 12' - insulated",EA,&,"$1,723.73",
S14-14,"Sectional overhead door, 14' x 14'",EA,&,"$1,261.58",
S14-14I,"Sectional overhead door, 14' x 14' - insulated",EA,&,"$1,879.70",
S16-10,"Sectional overhead door, 16' x 10'",EA,&,"$1,160.31",
S16-10I,"Sectional overhead door, 16' x 10' - insulated",EA,&,"$1,600.01",
S16-12,"Sectional overhead door, 16' x 12'",EA,&,"$1,336.76",
S16-12C,"Sectional overhead door, 16' x 12' - Glass - Motorized",EA,&,"$5,535.60",
S16-12I,"Sectional overhead door, 16' x 12' - insulated",EA,&,"$1,879.61",
SCRNM,"Screen door - metal - 30"" - 36"" - full screen (no glass)",EA,&,$124.04,
SCRNM-,"Screen door - metal - 30"" - 36"" full scrn - Standard grade",EA,&,$94.07,
SCRNW,"Screen door - wood - 30"" - 36"" - full screen (no glass)",EA,&,$122.10,
SCRNW-,"Screen door - wood - 30"" - 36"" full scrn - Standard grade",EA,&,$76.69,
SD3,"Steel door, 3' x 7'",EA,&,$215.93,
SD3FL,"Steel door, 3' x 7' - full louvered",EA,&,"$1,196.93",
SD3FR,"Steel door, 3' x 7' - fire rated",EA,&,$376.70,
SD3GL,"Steel door, 3' x 7' - with glass lite",EA,&,$905.43,
SD4,"Steel door, 4' x 7'",EA,&,$319.88,
SD4FR,"Steel door, 4' x 7' - fire rated",EA,&,$485.88,
SDF3,Steel door frame - 3' opening,EA,&,$153.66,
SDF4,Steel door frame - 4' opening,EA,&,$153.82,
SDF6,Steel door frame - 6' opening,EA,&,$182.42,
SDF8,Steel door frame - 8' opening,EA,&,$213.02,
SDFEM,Steel door frame - Add to install in existing masonry,EA,#ERROR!,$27.37,
SDFNM,Steel door frame - Add to install in new masonry,EA,#ERROR!,$18.11,
SPAB,Special Doors - Bale access door - 4' x 8',EA,&,$747.63,
SPABC,Special Doors - Bale chute door,EA,&,$112.28,
SPBH,Bulkhead door - 12' x 12' - grain storage,EA,&,$984.15,
SPCA,Special Doors - Ceiling access,EA,&,$102.02,
SPCA>,Special Doors - Ceiling access - Large,EA,&,$112.82,
SPDARK,Special Doors - Revolving dark room door,EA,&,"$2,469.80",
SPFP,Special Doors - Folding partition - Non-sound,SF,&,$22.75,
SPFP+,Special Doors - Folding partition - Sound - High grade,SF,&,$32.75,
SPGRIL,Roll-up or folding grill door - aluminum/lexan,SF,&,$29.49,
SPLD,"Wood door - oak face, fire rated (lead lined)",EA,&,"$1,117.05",
SPRCD,Special Doors - Rolling counter door,SF,&,$82.65,
SPRCD+,Special Doors - Rolling counter door - High grade,SF,&,$104.87,
SPRD,Special Doors - Revolving doors,EA,&,#######,
SPRD+,Special Doors - Revolving doors - High grade,EA,&,#######,
SPRH,Special Doors - Roof Hatch,EA,&,$649.70,
SPSL,Special Doors - Sliding - pole frame - 8' x 7',EA,&,"$1,051.69",
SPSLRS,Special Doors - Sliding - pole frame - Detach and reset,EA,#ERROR!,$263.44,
SPTRAF,Special Doors - Traffic impact doors - Automatic,EA,&,"$1,583.53",
SPTRAF+,Special Doors - Traffic impact doors - Automatic - High sp,EA,&,"$4,549.11",
SPV,Special Doors - Vault door - 3080,EA,&,"$3,115.16",
SPV>,Special Doors - Vault door - 4880,EA,&,"$4,902.71",
SPWA,Special Door - Wall access - Ventilator,EA,&,$427.97,
STRMD,Storm door assembly,EA,&,$217.74,
STRMD-,Storm door assembly - Standard grade,EA,&,$170.74,
STRMD+,Storm door assembly - High grade,EA,&,$271.74,
STRMD++,Storm door assembly - Premium grade,EA,&,$347.17,
STRMDRS,Storm door assembly - Detach & reset,EA,#ERROR!,$49.37,
WALUM,Wood door - with aluminum skin - prehung,EA,&,$823.15,
WD4,Wood door - add for 4' door width,EA,#ERROR!,$58.58,
WD4FR,"Wood door - add for 4' door width, fire rated",EA,#ERROR!,$169.93,
WD7,Wood door - add for 7' door height,EA,#ERROR!,$19.99,
WDB,"Wood door - birch face, 5 or 7 ply hollow core",EA,&,$132.95,
WDBFR,"Wood door - birch face, fire rated (mineral fiber core)",EA,&,$380.10,
WDBSC,"Wood door - birch face, solid core",EA,&,$146.80,
