,Code,Description,Unit,,,Category
510,RFB18++,Refrigerator - bottom freezer - 18 to 22 cf -Premium grade,EA,&,"$2,438.69",
511,RFB23,Refrigerator - bottom freezer - 22 to 25 cf,EA,&,"$1,680.98",
512,RFB22+,Refrigerator - bottom freezer - 22 to 25 cf - High grade,EA,&,"$2,046.95",
513,RFB22++,Refrigerator - bottom freezer - 22 to 25 cf -Premium grade,EA,&,"$2,749.08",
514,RFB26,Refrigerator - bottom freezer - 25 to 30 cf,EA,&,"$1,750.07",
515,RFB25+,Refrigerator - bottom freezer - 25 to 30 cf - High grade,EA,&,"$2,149.08",
516,RFB25++,Refrigerator - bottom freezer - 25 to 30 cf -Premium grade,EA,&,"$2,998.41",
517,RFBI,"Built-in refrigerator - 36""",EA,&,"$2,505.38",
518,RFBI+,"Built-in refrigerator - 36"" - High grade",EA,&,"$3,723.54",
519,RFBI++,"Built-in refrigerator - 36"" - Premium grade",EA,&,"$4,974.62",
520,RFBI+++,"Built-in refrigerator - 36"" - Deluxe grade",EA,&,"$6,150.32",
521,RFBI>,"Built-in refrigerator - 42""",EA,&,"$3,702.45",
522,RFBI>+,"Built-in refrigerator - 42"" - High grade",EA,&,"$4,891.63",
523,RFBI>++,"Built-in refrigerator - 42"" - Premium grade",EA,&,"$5,410.00",
524,RFBI>DX,"Built-in refrigerator - 42"" - Deluxe grade",EA,&,"$6,774.12",
525,RFBIRS,Built-in freezer/refrigerator - Remove & reset,EA,#ERROR!,$251.42,
526,RFBIX,"Built-in refrigerator - 48""",EA,&,"$4,961.45",
527,RFBIX+,"Built-in refrigerator - 48"" - High grade",EA,&,"$5,706.12",
528,RFBIX++,"Built-in refrigerator - 48"" - Premium grade",EA,&,"$6,452.20",
529,RFBIXDX,"Built-in refrigerator - 48"" - Deluxe grade",EA,&,"$7,819.00",
530,RFD,Refrigerated drawer appliance - under-counter - built-in,EA,&,"$2,725.30",
531,RFDRS,Refrigerated drawers - built-in - Remove & reset,EA,#ERROR!,$66.08,
532,RFM,Refrigerator - mobile home,EA,&,$425.45,
533,RFMI,Refrigerator - compact (under counter),EA,&,$295.53,
534,RFMI-,Refrigerator - compact (under counter) - Standard grade,EA,&,$141.32,
535,RFMI+,Refrigerator - compact (under counter) - High grade,EA,&,$658.76,
536,RFMI++,Refrigerator - compact (under counter) - Premium grade,EA,&,"$1,522.25",
537,RFP,Refrigerator - paint / refinish,EA,#ERROR!,$189.44,
538,RFPG,Refrigerator - paint / refinish & replace gaskets,EA,#ERROR!,$265.97,
539,RFR1,Refrigerator - reach-in - Restaurant Equip. - 1 door,EA,&,"$2,495.54",
540,RFR2,Refrigerator - reach-in - Restaurant Equip. - 2 door,EA,&,"$2,953.74",
541,RFR3,Refrigerator - reach-in - Restaurant Equip. - 3 door,EA,&,"$3,991.15",
542,RFRS,Refrigerator - Remove & reset,EA,#ERROR!,$27.50,
543,RFS19,Refrigerator - side by side - 16 to 22 cf,EA,&,"$1,356.11",
544,RFS18-,Refrigerator - side by side - 16 to 22 cf - Standard grade,EA,&,$879.86,
545,RFS18+,Refrigerator - side by side - 16 to 22 cf - High grade,EA,&,"$1,746.11",
546,RFS18++,Refrigerator - side by side - 16 to 22 cf - Premium grade,EA,&,"$2,746.12",
547,RFS23,Refrigerator - side by side - 22 to 25 cf,EA,&,"$1,506.69",
548,RFS22-,Refrigerator - side by side - 22 to 25 cf - Standard grade,EA,&,"$1,033.69",
549,RFS22+,Refrigerator - side by side - 22 to 25 cf - High grade,EA,&,"$1,972.78",
550,RFS22++,Refrigerator - side by side - 22 to 25 cf - Premium grade,EA,&,"$3,080.52",
551,RFS25,Refrigerator - side by side - 25 to 30 cf,EA,&,"$1,604.14",
552,RFS24-,Refrigerator - side by side - 25 to 30 cf - Standard grade,EA,&,"$1,056.36",
553,RFS24+,Refrigerator - side by side - 25 to 30 cf - High grade,EA,&,"$2,463.23",
554,RFS24++,Refrigerator - side by side - 25 to 30 cf - Premium grade,EA,&,"$3,262.83",
555,RFSC,Refrigerator - Commercial - side by side,EA,&,"$5,946.29",
556,RFSCRS,Refrigerator - Commercial - side by side - Remove & reset,EA,#ERROR!,$148.63,
557,RFWLRS,Refrig. water line - Disconnect & reconnect - with repairs,EA,#ERROR!,$57.17,
558,RG,Range - freestanding - electric,EA,&,$623.81,
559,RG-,Range - freestanding - electric - Standard grade,EA,&,$462.35,
560,RG+,Range - freestanding - electric - High grade,EA,&,$899.49,
561,RG++,Range - freestanding - electric - Premium grade,EA,&,"$1,268.15",
562,RG+++,Range - freestanding - electric - Deluxe grade,EA,&,"$2,165.98",
563,RGDI,Range - drop in,EA,&,"$1,114.97",
